	Tweets	date	polarity
0	"Bitcoin Cash Accepted Here: $BCH $BCC 
https://bitsonline.com/bitmain-accepting-bitcoin-cash/ …"	2017-10-04	0.0
1	"Bitcoin Cash: $355.83
 -10.79% (-$43.02)
High: $403.50
Low: $351
Volume: 5496

$BCC #BCC #bitcoincash"	2017-10-04	0.08
2	"Bitcoin Cash: $361.39
 -8.97% (-$35.61)
High: $403.50
Low: $351
Volume: 5111

$BCC #BCC #bitcoincash"	2017-10-04	0.08
3	What’s happening to Bitcoin Cash? #BitcoinCash #BCH #Bitcoin $BCH $BTC	2017-10-04	0.0
4	"Bitcoin Cash: $352
 -11.86% (-$47.36)
High: $403.50
Low: $351
Volume: 5416

$BCC #BCC #bitcoincash"	2017-10-04	0.08
5	"https://www.tradingview.com/chart/BCHUSD/MF839tZo-BCH-trough-an-ABC-correction-bottom-could-be-aroud-360/ …

Bitcoin cash seems to have bottomed, expecting another suspicious pump considering the history of pumps 

$bch $btc"	2017-10-04	0.0
6	0.005 Bitcoin Cash *BCH* Direct to your *BCH* Wallet shipped within 24 hours! https://goo.gl/Kc9S6g 	2017-10-04	0.125
7	Why Miners Are Mining #Bitcoin Cash $BCC $BCH $BTC – and Losing Money Doing It http://bit.ly/2iIhgwo  via @CoinDesk	2017-10-04	0.0
8	#bitcoin Cash Price Technical Analysis  BCH/USD Facing Tough Challenge - NEWSBTC $BTC $ETH http://bit.ly/2ypBTUW 	2017-10-04	-0.19444444444444445
9	"Bitcoin Cash (BCH)
$371.71 (-6.64%) 
0.08801220 BTC (-5.36%)"	2017-10-04	0.0
10	I was part of the early Bitcoin Cash BCH grass root community. Extremely passionate community. 	2017-10-04	0.025
11	Biased reporting also fails the general public. https://twitter.com/pesa_africa/status/915574991168655361 …	2017-10-04	-0.15
12	@JihanWu Mister. when Bitcoin Cash Growing UP again? When Bitcoin Cash Up to $950 it's been almost 2 month BCH not growing UP again :(	2017-10-04	-0.75
13	bitcoin cash gots the low fees $BCH #bitcoin	2017-10-04	0.0
14	.@BITMAINtech Now Accepting Only Bitcoin Cash for Antminer Sales -  #bitcoin #bitcoincash #news	2017-10-04	0.0
15	For more details about Bitcoin Cash (BCH), please visit http://bit.ly/2uda00I . Thank you.	2017-10-04	0.5
16	Bitcoin Cash Price Technical Analysis - BCH/USD Breaks $400 - Key Points Bitcoin cash price continues to slide ... 	2017-10-04	0.0
17	"PSA: Please use $BCH for #Bitcoin Cash. Stop crapping on some else's brand before Jamie Dimon launches a shitcoin with a ""BTC"" ticker symbol"	2017-10-04	0.0
18	Bitcoin Cash Price Technical Analysis – BCH/USD Facing Tough Challenge http://cstu.co/9a3f17  $BTC $ETH #bitcoin #blockchain	2017-10-04	-0.19444444444444445
19	#bitcoin Dips Under $4,200, Bitcoin Cash Sheds 10% - Newsline #BTC #BCH https://newsline.com/bitcoin-dips-under-4200-bitcoin-cash-sheds-10 …	2017-10-04	0.0
