	Tweets	date	polarity
0	Bitmain accepting only Bitcoin Cash for latest batch of S9 miners (x-post from r/BitcoinCash) via /r/btc 	2017-09-30	0.25
1	"Trezor calls Bitcoin Cash ""Bcash"" #bcash #trezor #btc #bch #bcc #bitcoin #cash #BitcoinCash "	2017-09-30	0.0
2	Japan Approved 11 crypto exchanges and the list of coins include Bitcoin cash #BCH #BCC #Bitcoincash https://goo.gl/BnDNyN  .. 	2017-09-30	0.0
3	The drama of segwit 2x or NO2X  .. is going to pump #Bitcoincash hard better watch bitcoin cash $BCH $BCC . don't miss the train  #btc $btc	2017-09-30	0.10416666666666666
4	"#RETWEEET #BLOCKCHAIN #BITCOINS #BITCOINCASH #ALTCOINS Decide the price of bitcoin cash pump  https://twitter.com/jajapump/status/914226684492001281 …
Vote for #bitcoincash"	2017-09-30	0.0
5	Exchange of India Koinex adding Bitcoin Cash on 11th October  the expected price http://goo.gl/Wrve23  #blockchain #bitcoin #Altcoins	2017-09-30	-0.1
6	Ledger Nano S - #bitcoin  Bitcoin Cash  #ethereum  LTC  Ripple - READY TO SHIP #bitcoincash http://bitcoinagile.com/1385B89/ledger-nano-s-bitcoin-bitcoin-cash-ethereum-ltc-ripple-ready-to-ship_stream …	2017-09-30	0.2
7	4/ BTC-SW 12.5k per day versus 7.5k BCC per day, QED. (BCH = BCC = Bitcoin Cash)	2017-09-30	0.0
8	Lot of 10 PreFork SATORI COINS - Loaded with 0.001 #bitcoin & Bitcoin Cash. #bitcoincash http://bitcoinagile.com/1384E3D/lot-of-10-prefork-satori-coins-loaded-with-0001-bitcoin-bitcoin-cash_stream …	2017-09-30	0.0
9	MICROSOUL PHYSICAL BITCOIN AND BITCOIN CASH BTC BCH https://allsorce.com/microsoul-physical-bitcoin-and-bitcoin-cash-btc-bch-2/ …	2017-09-30	0.0
10	Bitcoin Cash Price Weekly Analysis – BCH/USD Struggle Continues - NEWSBTC - http://www.newsbtc.com/2017/09/10/bitcoin-cash-price-weekly-analysis-bchusd-struggle-continues/ …	2017-09-30	0.0
11	"$bcc $bch #bitcoincash Bitcoin Cash EDA . -67% dropped
 $ BCH can be  again.If there is no interference, the possibilities are sufficient"	2017-09-30	0.0
12	How would one get Bitcoin cash from their existing Bitcoin private keys? https://bitcoin.stackexchange.com/q/57244?atw=1  #bitcoincash	2017-09-30	0.0
13	Bitcoin Cash Flag Pattern - BCHUSD TradingView https://www.tradingview.com/chart/BCHUSD/EtuPnXkO-Bitcoin-Cash-Flag-Pattern/ … #BitcoinCash #Cryptocurrency #Cryptomarkets	2017-09-30	0.0
14	Trade Recommendation: #bitcoin Cash | Hacked: Hacking Finance #bitcoincash http://bitcoinagile.com/1382274/trade-recommendation-bitcoin-cash-hacked-hacking-finance_stream …	2017-09-30	0.0
15	25x Roll of Pre-Fork SATORI COINS Bitcoin & Bitcoin Cash! FUNDED 0.001 BTC & BCH https://allsorce.com/25x-roll-of-pre-fork-satori-coins-bitcoin-bitcoin-cash-funded-0-001-btc-bch-2/ …	2017-09-30	0.0
16	It's BCash not Bitcoin Cash. It's a shame to create such delusionary coin. Miners are minting money. BCH team is demeaning original Bitcoin.	2017-09-30	0.1875
17	$bch or $bcc (bitcoin cash) might go up $200 within the next week or two so be prepared for entry now	2017-09-30	0.0
18	Can you hurry up and start accepting Bitcoin Cash! Shits about to go crazy in November with SW2X and we need a stable currency like BCC/BCH!!	2017-09-30	-0.9375
19	"http://youtu.be/e_9QouZWUvc  ""Bitmain accepting only Bitcoin Cash for latest batch of S9 miners (x-post from r/BitcoinCash)"" #Bitcoin #Ethereum…"	2017-09-30	0.25
20	"Bitcoin Cash reminds me of Botcoin's early years. Great user experience
 #bch"	2017-09-30	0.45
21	Poloniex #8 Market(3.11%) BCH/BTC - Bitcoin Cash Vol(24h):637.488 BTC / $2,766,330 - Price: $439.13 / 0.101197 BTC	2017-09-30	0.0
22	Poloniex #14 Market(1.96%) BCH/USDT - Bitcoin Cash Vol(24h):401.701 BTC / $1,743,150 - Price: $441.70 / 0.101788 BTC	2017-09-30	0.0
23	Singapore, US Economy, Ethereum, Bitcoin Cash (BCH), how is supply being regulated?	2017-09-30	0.0
24	"Bitcoin Cash: $441.99
 +0.45% (+$1.99)
High: $454.32
Low: $438
Volume: 2542

$BCC #BCC #bitcoincash"	2017-09-30	0.08
25	#RFEIF.org | Bitcoin Cash Price Weekly Analysis – BCH/USD Facing Uphill Task - NEWSBTC http://bit.ly/2xGqEXM  #BTC #Bitcoin	2017-09-30	0.0
26	MICROSOUL PHYSICAL BITCOIN AND BITCOIN CASH BTC BCH https://allsorce.com/microsoul-physical-bitcoin-and-bitcoin-cash-btc-bch-2/ …	2017-09-30	0.0
27	"Roger Ver Ditches Bitcoin, Promotes Bitcoin Cash
http://www.trustnodes.com/2017/09/30/roger-ver-ditches-bitcoin-promotes-bitcoin-cash …
$BTC #BTC $BCH #BCH"	2017-09-30	0.0
28	How To Profit From Bitcoin Cash (BCC/BCH) + When To Buy & Sell - CMTV Episode 16 - VIDEO-> http://makeextramoneyonline.org/how-to-profit-from-bitcoin-cash-bccbch-when-to-buy-sell-cmtv-episode-16/ …	2017-09-30	0.0
29	25x Roll of Pre-Fork SATORI COINS Bitcoin & Bitcoin Cash! FUNDED 0.001 BTC & BCH https://allsorce.com/25x-roll-of-pre-fork-satori-coins-bitcoin-bitcoin-cash-funded-0-001-btc-bch-2/ …	2017-09-30	0.0
30	Bitcoin Cash (BCH) – What You Need To Know http://dlvr.it/PrPZH7  #bcc #BCH #Bitcoin	2017-09-30	0.0
31	"RT StakepoolCom ""Como reclamo mis bitcoin cash (BCH/BCC)? Check it out! http://ift.tt/2x4qPrq  #cryptocurrency #steem #blockchain"""	2017-09-30	0.0
32	#Bitcoin Cash Price Technical Analysis – BCH/USD Reaching Support http://www.newsbtc.com/2017/09/29/bitcoin-cash-price-technical-analysis-bchusd-approaching-support-3/ …	2017-09-30	0.0
33	"Bitcoin Cash cheapest on Bittrex BTC-market: $438.57 0.10529990BTC

$bch #bitcoincash $BCHUSD $BCHBTC"	2017-09-30	0.0
