	Tweets	date	polarity
0	If Craig is Satoshi & Bitcoin Cash is the real Bitcoin. Why hasn't he sold his BTC for BCH? I get no response when I ask him directly. 	2017-10-02	0.15000000000000002
1	Bitcoin Cash billbaord in North Queensland. BCH is eveywhere! This is the coin you… https://goo.gl/fb/xBBYbH  #Bitcoin	2017-10-02	0.0
2	Proponents of bitcoin cash have banded together to create The Accept Bitcoin Cash Initiative (#ABCI). https://www.bitcoin.com/review/accept-bitcoin-cash-initiative … #bitcoincash	2017-10-02	0.0
3	BITCOIN CASH (BCH): Witnessing the Birth of a BULLISH BREAKOUT Makes Me Feel Like a New Daddy All Over Again!!!	2017-10-02	0.26633522727272724
4	" #Bitcoin Cash Price Drops to $420 as Momentum Turns Against #BCH,
#blockchain #fintech #trading #defstar5 #Mpgvip
https://themerkle.com/bitcoin-cash-price-drops-to-420-as-momentum-turns-against-bch/ …"	2017-10-02	0.0
5	"Bitmain Now Accepts Only Bitcoin Cash For Their Latest Mining Hardware @BITMAINtech 
http://bit.ly/2kghNGC  
#BitcoinCash #Bitcoin #bch"	2017-10-02	0.25
6	Still Waiting To Dump Your #bitcoin Cash Or Not  Bcc/Bch Wallet Ready #cash http://bit.ly/2xJUlXV 	2017-10-02	0.2
7	#Bitcoin Cash moving forwardadoption and use while others fall prey to remaining mere speculation- #BCH wins! Invest wisely #BitcoinCash	2017-10-02	0.19166666666666665
8	Bitcoin Cash Price Technical Analysis – Can BCH/USD Correct Higher? https://goo.gl/fb/DyDbUw  #bitcoin	2017-10-02	0.125
9	Bitcoin cash price is slowly attempting a recovery against the US Dollar. BCH/USD… https://goo.gl/fb/mwiv9u  #bitcoin	2017-10-02	-0.30000000000000004
10	Excellent article on mining bitcoin / bitcoin cash and difficulty adjustment rules NDA vs ESA #BTC #BCH  	2017-10-02	1.0
11	Bitcoin Cash (BCH) Update: MACD to Price Bullish Divergence	2017-10-02	0.0
12	Bitcoin Cash Price Drops to $420 as Momentum Turns Against BCH https://buff.ly/2xQUlEw  #fintech #startup via @FintechBot	2017-10-02	0.0
13	How to claim free bitcoin cash on Zebpay exchange || Bitcoin Cash Address For Zebpay BCH: http://youtu.be/fzdreQocv5M?a  via @YouTube	2017-10-02	0.4
14	Bitcoin Cash Price Technical Analysis – Can BCH/USD Correct Higher? 	2017-10-02	0.125
15	"RT TopFiveTraders ""RT StakepoolCom ""Bitcoin Cash (BCH) Update: MACD to Price Bullish Divergence Check it out! http://ift.tt/2kfdMCf  #cry…"	2017-10-02	0.0
16	"RT StakepoolCom ""Bitcoin Cash (BCH) Update: MACD to Price Bullish Divergence Check it out! http://ift.tt/2kfdMCf  #cryptocurrency #steem …"	2017-10-02	0.0
17	"Bitcoin Cash cheapest on Coinexchange BTC-market: $406.78 0.09200060BTC

$BCHBTC $BCHUSD #bitcoincash $bch"	2017-10-02	0.0
18	"Bitcoin Cash cheapest on Cryptopia USDT-market: $413.00 0.09293471BTC

#bitcoincash $bch $BCHBTC $BCHUSD"	2017-10-02	0.0
19	Poloniex #4 Market(5.37%) BCH/BTC - Bitcoin Cash Vol(24h):1042.89 BTC / $4,585,820 - Price: $421.87 / 0.0959399 BTC	2017-10-02	0.0
20	Poloniex #12 Market(2.21%) BCH/USDT - Bitcoin Cash Vol(24h):428.634 BTC / $1,884,800 - Price: $421.56 / 0.09587 BTC	2017-10-02	0.0
21	Bitcoin Cash Price Weekly Analysis – BCH/USD’s Upsides Capped http://ow.ly/7wwO50emHlo 	2017-10-02	0.0
22	"Bitcoin Cash cheapest on Cryptopia USDT-market: $413.00 0.09293471BTC

$BCHBTC #bitcoincash $bch $BCHUSD"	2017-10-02	0.0
23	"Bitcoin Cash cheapest on Cryptopia USDT-market: $413.00 0.09293471BTC

$bch #bitcoincash $BCHUSD $BCHBTC"	2017-10-02	0.0
