	Tweets	date	polarity
0	CONTEST: Win a TREZOR #cryptocurrency wallet that holds #Bitcoin, #Ethereum, etc. Like, RT & Follow to enter. Winner after 1000 real RTs.	2017-10-08	0.5
1	"Ethereum
.
.
.
#Ruon #bitcoinprice #cryptomining #bitcoinmining  #ethereum
  #equity #coinbase bitcoinexchange #bitcoincharts #freebitcoin"	2017-10-08	0.0
2	Short ETH	2017-10-08	0.0
3	"#Blockchain Types

#Fintech #makeyourownlane #Mpgvip #cryptocurrency #defstar5 #Bitcoin #cybersecurity #ETHEREUM #infosec #malware #ai #NLP"	2017-10-08	0.0
4	We r z best #coin out there, to the moon and beyond, we are patient and we will deliver! #crypto #ETH #BTC #NEO #OmiseGo #DASH #Ripple #Nem	2017-10-08	1.0
5	"We're changing the #cryptocurrency world on October 16th 2017! zPIV is coming. 

$btc $eth $neo $xmr $dash #cyptocurrency"	2017-10-08	0.0
6	"rt to be in a new group chat!!
-stan eth and gray
-mbf or have dms open
-be dirty minded
-DONT LET IT DIEEE
-We kick out inactives"	2017-10-08	-0.12897727272727275
7	Confused About Blockchain? Here's What You Need to Know  #cryptocurrency #blockchain #ai #bitcoin #ethereum #bitqy	2017-10-08	-0.4
8	"FOLLOW LIKE RETWEET TO WIN FREE $BTC
$SYS $QTUM $WINGS $BTS $OKCash $LUN $BTC $LTC $ETH $ETC $NEO $DGB $DASH $STRAT $BNB $OMG $PAY $XRP $XMR"	2017-10-08	0.6000000000000001
9	" $BTC GIVEAWAY ON 1/11/17

IF WE GET 6000 FOLLOWERS WE WILL GIVE AWAY 0.05 BTC
8000 - 0.15…"	2017-10-08	0.0
10	3,409 stories about #blockchain {Infographic} #bitcoin #fintech #ethereum #datascience #bigdata #cryptocurrency #hacking #tech #trade [@wef]	2017-10-08	0.0
11	Altcoin Exchange Performs First Atomic Swap Between Bitcoin and Ethereum http://ift.tt/2hWUPDG  #Bitcoin	2017-10-08	0.25
12	Unrelated. Hey Elon, do you hold any Bitcoins, Ethereum or any Cryptocurrencies? I would love to hear your opinion on them 0/	2017-10-08	0.5
13	"What is a #Blockchain? 
via @Bloomberg
#Fintech #makeyourownlane #Mpgvip #cryptocurrency #defstar5 #Cybersecurity #Bitcoin #crypto #ETHEREUM "	2017-10-08	0.0
14	First time over 100k $ volume in one day. Great week for Unify. #unifycrypto #bitcoin #ethereum #litecoin #btc #ltc #eth #cryptocurrency	2017-10-08	0.525
15	"Building a #blockchain to end all blockchains
#bitcoin #ethereum #cryptocurrency #distributedledger
#decentralized #proofofwork #proofofstake
in @singularityhub

http://bit.ly/2y32I0N "	2017-10-08	0.0
16	$XRP has been disconnected from $BTC movement from the start of this bull run FYI!! #Ripple #FREEBALLIN! $ETH $NEO $XLM $SNM $STRAT $STORJ pic.twitter.com/3nG2t54jou	2017-10-08	0.0
17	"Inside #ethereum’s effort to change how we mine 
@VitalikButerin says change to #ProofOfStake is needed
Power consumption⬇︎so #blockchain #technology can scale

http://bit.ly/2fUU4XH "	2017-10-08	0.0
18	“I’m quitting Bitcoin for Ethereum because mah blocks are full!” 	2017-10-08	0.4375
19	People complaining about @etherdelta transactions getting stuck, here's your answer. Blocks are full and your txs require lots of gas. 	2017-10-08	0.35
20	#Blockchain for Every Industry  #Fintech #makeyourownlane #Mpgvip #AI #cryptocurrency #ETHEREUM... by #Dj_Smuv	2017-10-08	0.0
21	New wallet released! Check out the 1st #Unitus monthly update here: https://bitcointalk.org/index.php?topic=1121974.msg22694997#msg22694997 … #crypto #fintech #blockchain $UIS $XMY $BTC #ETH 	2017-10-08	0.17045454545454544
